cve_id,published_ts,cvss3_base_score,problemtype_json,repo_url,repo_name
CVE-2016-9013,2016-12-09 20:59:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-798'}]}]",https://github.com/django/django,django/django
CVE-2016-9013,2016-12-09 20:59:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-798'}]}]",https://github.com/django/django,django/django
CVE-2016-9013,2016-12-09 20:59:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-798'}]}]",https://github.com/django/django,django/django
CVE-2016-9014,2016-12-09 20:59:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/django/django,django/django
CVE-2016-9014,2016-12-09 20:59:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/django/django,django/django
CVE-2016-9014,2016-12-09 20:59:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/django/django,django/django
CVE-2016-9014,2016-12-09 20:59:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/django/django,django/django
CVE-2016-9015,2017-01-11 16:59:00+00,3.7,"[{'description': [{'lang': 'en', 'value': 'CWE-295'}]}]",https://github.com/urllib3/urllib3,urllib3/urllib3
CVE-2016-9015,2017-01-11 16:59:00+00,3.7,"[{'description': [{'lang': 'en', 'value': 'CWE-295'}]}]",https://github.com/urllib3/urllib3,urllib3/urllib3
CVE-2016-9015,2017-01-11 16:59:00+00,3.7,"[{'description': [{'lang': 'en', 'value': 'CWE-295'}]}]",https://github.com/urllib3/urllib3,urllib3/urllib3
CVE-2016-9575,2018-03-13 13:29:00+00,6.3,"[{'description': [{'lang': 'en', 'value': 'CWE-285'}]}]",https://github.com/freeipa/freeipa,freeipa/freeipa
CVE-2016-9587,2018-04-24 16:29:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/ansible/ansible,ansible/ansible
CVE-2016-9587,2018-04-24 16:29:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/ansible/ansible,ansible/ansible
CVE-2016-9587,2018-04-24 16:29:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/ansible/ansible,ansible/ansible
CVE-2016-9587,2018-04-24 16:29:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/ansible/ansible,ansible/ansible
CVE-2016-9587,2018-04-24 16:29:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/ansible/ansible,ansible/ansible
CVE-2016-9587,2018-04-24 16:29:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/ansible/ansible,ansible/ansible
CVE-2016-9587,2018-04-24 16:29:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/ansible/ansible,ansible/ansible
CVE-2017-0359,2018-04-13 16:29:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'NVD-CWE-noinfo'}]}]",https://github.com/anthraxx/diffoscope,anthraxx/diffoscope
CVE-2017-0360,2017-04-04 17:59:00+00,5.3,"[{'description': [{'lang': 'en', 'value': 'CWE-269'}]}]",https://github.com/tryton/trytond,tryton/trytond
CVE-2017-1000469,2018-01-03 20:29:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/cobbler/cobbler,cobbler/cobbler
CVE-2017-11353,2017-07-17 13:18:00+00,5.9,"[{'description': [{'lang': 'en', 'value': 'CWE-362'}]}]",https://github.com/TheLocehiliosan/yadm,TheLocehiliosan/yadm
CVE-2017-11424,2017-08-24 16:29:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'NVD-CWE-noinfo'}]}]",https://github.com/jpadilla/pyjwt,jpadilla/pyjwt
CVE-2017-11427,2019-04-17 14:29:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/SAML-Toolkits/python-saml,SAML-Toolkits/python-saml
CVE-2017-12440,2017-08-18 14:29:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-306'}]}]",https://github.com/openstack/aodh,openstack/aodh
CVE-2017-14695,2017-10-24 17:29:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-22'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2017-14696,2017-10-24 17:29:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2017-16228,2017-10-29 20:29:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'NVD-CWE-noinfo'}]}]",https://github.com/jelmer/dulwich,jelmer/dulwich
CVE-2017-16239,2017-11-14 17:29:00+00,6.5,"[{'description': [{'lang': 'en', 'value': 'NVD-CWE-noinfo'}]}]",https://github.com/openstack/nova,openstack/nova
CVE-2017-17051,2017-12-05 18:29:00+00,8.6,"[{'description': [{'lang': 'en', 'value': 'CWE-400'}]}]",https://github.com/openstack/nova,openstack/nova
CVE-2017-18342,2018-06-27 12:29:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-502'}]}]",https://github.com/yaml/pyyaml,yaml/pyyaml
CVE-2017-18361,2019-02-01 09:29:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-835'}]}]",https://github.com/Pylons/colander,Pylons/colander
CVE-2017-2809,2017-09-14 19:29:00+00,7.8,"[{'description': [{'lang': 'en', 'value': 'CWE-94'}]}]",https://github.com/tomoh1r/ansible-vault,tomoh1r/ansible-vault
CVE-2017-2810,2017-06-14 13:29:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'NVD-CWE-noinfo'}]}]",https://github.com/jazzband/tablib,jazzband/tablib
CVE-2017-5192,2017-09-26 14:29:00+00,8.8,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2017-5192,2017-09-26 14:29:00+00,8.8,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2017-5192,2017-09-26 14:29:00+00,8.8,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2017-5192,2017-09-26 14:29:00+00,8.8,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2017-5200,2017-09-26 14:29:00+00,8.8,"[{'description': [{'lang': 'en', 'value': 'NVD-CWE-noinfo'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2017-5200,2017-09-26 14:29:00+00,8.8,"[{'description': [{'lang': 'en', 'value': 'NVD-CWE-noinfo'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2017-5934,2018-10-15 19:29:00+00,6.1,"[{'description': [{'lang': 'en', 'value': 'CWE-79'}]}]",https://github.com/moinwiki/moin-1.9,moinwiki/moin-1.9
CVE-2017-5938,2017-03-15 14:59:00+00,6.1,"[{'description': [{'lang': 'en', 'value': 'CWE-79'}]}]",https://github.com/viewvc/viewvc,viewvc/viewvc
CVE-2017-7572,2017-04-06 18:59:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-362'}]}]",https://github.com/bit-team/backintime,bit-team/backintime
CVE-2017-8109,2017-04-25 17:59:00+00,7.8,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2017-8109,2017-04-25 17:59:00+00,7.8,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2017-8109,2017-04-25 17:59:00+00,7.8,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2018-1000226,2018-08-20 20:29:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-732'}]}]",https://github.com/cobbler/cobbler,cobbler/cobbler
CVE-2018-1000519,2018-06-26 16:29:00+00,6.5,"[{'description': [{'lang': 'en', 'value': 'CWE-384'}]}]",https://github.com/aio-libs/aiohttp-session,aio-libs/aiohttp-session
CVE-2018-1000559,2018-06-26 16:29:00+00,6.1,"[{'description': [{'lang': 'en', 'value': 'CWE-79'}]}]",https://github.com/qutebrowser/qutebrowser,qutebrowser/qutebrowser
CVE-2018-1000559,2018-06-26 16:29:00+00,6.1,"[{'description': [{'lang': 'en', 'value': 'CWE-79'}]}]",https://github.com/qutebrowser/qutebrowser,qutebrowser/qutebrowser
